project_accession	project_alias	sample_alias	experiment_alias	run_alias	library_name	library_source	library_selection	library_strategy	design_description	library_construction_protocol	instrument_model	file_type	library_layout	insert_size	forward_file_name	forward_file_md5	forward_file_unencrypted_md5	reverse_file_name	reverse_file_md5	reverse_file_unencrypted_md5
PRJEB24317		Myzus persicae genotype O JHI clonal line1	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-11:10:12:637-1	ena-RUN-The James Hutton Institute-10-01-2018-11:10:12:637-1	LIB19752	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Mpersicae_24H_1R	stranded Truseq	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19752_LDI17144_GTTTCG_L001_R1.fastq.gz	8d5363f302e2e643297b1d30062e931a		1674_LIB19752_LDI17144_GTTTCG_L001_R2.fastq.gz	3b729bb42feda7baf061823b868a7a49	
PRJEB24317		Myzus persicae genotype O JHI clonal line1	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-11:10:12:637-1	ena-RUN-The James Hutton Institute-10-01-2018-11:10:12:637-1	LIB19752	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Mpersicae_24H_1R	stranded Truseq	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19752_LDI17144_GTTTCG_L002_R1.fastq.gz	c168ebf0b52e48b1a601fb58aa291d15		1674_LIB19752_LDI17144_GTTTCG_L002_R2.fastq.gz	9b44eb7c030d1a9397c8ac49310cb0bd	
PRJEB24317		Myzus persicae genotype O JHI clonal line1	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-11:10:12:637-1	ena-RUN-The James Hutton Institute-10-01-2018-11:10:12:637-1	LIB19752	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Mpersicae_24H_1R	stranded Truseq	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19752_LDI17144_GTTTCG_L003_R1.fastq.gz	34855198a5b54b5a70fbe05a8a29332e		1674_LIB19752_LDI17144_GTTTCG_L003_R2.fastq.gz	55b25fbcee9529794a38e1d4e7f686d1	
PRJEB24317		Myzus persicae genotype O JHI clonal line1	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-11:10:12:637-1	ena-RUN-The James Hutton Institute-10-01-2018-11:10:12:637-1	LIB19752	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Mpersicae_24H_1R	stranded Truseq	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19752_LDI17144_GTTTCG_L004_R1.fastq.gz	c33d6d68e48c882183e49f46aa55d4f9		1674_LIB19752_LDI17144_GTTTCG_L004_R2.fastq.gz	294021ddc23ac361373ac2a4815bab30	
PRJEB24317		Myzus persicae genotype O JHI clonal line1	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-11:10:12:637-1	ena-RUN-The James Hutton Institute-10-01-2018-11:10:12:637-1	LIB19753	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Mpersicae_24H_2R	stranded Truseq	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19753_LDI17145_CGTACG_L001_R1.fastq.gz	1a880fca29fdaf160043b73345e22134		1674_LIB19753_LDI17145_CGTACG_L001_R2.fastq.gz	b9e117b909e03599bdf19e3df65c9b01	
PRJEB24317		Myzus persicae genotype O JHI clonal line1	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-11:10:12:637-1	ena-RUN-The James Hutton Institute-10-01-2018-11:10:12:637-1	LIB19753	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Mpersicae_24H_2R	stranded Truseq	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19753_LDI17145_CGTACG_L002_R1.fastq.gz	2b9270e1a49bed702e8b80d2686eafd0		1674_LIB19753_LDI17145_CGTACG_L002_R2.fastq.gz	3b9b609cbf1141389a5abf008418d669	
PRJEB24317		Myzus persicae genotype O JHI clonal line1	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-11:10:12:637-1	ena-RUN-The James Hutton Institute-10-01-2018-11:10:12:637-1	LIB19753	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Mpersicae_24H_2R	stranded Truseq	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19753_LDI17145_CGTACG_L003_R1.fastq.gz	9323871754c440162afc4a940c645ffa		1674_LIB19753_LDI17145_CGTACG_L003_R2.fastq.gz	42ae8d26163b6430a9ea60749db940eb	
PRJEB24317		Myzus persicae genotype O JHI clonal line1	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-11:10:12:637-1	ena-RUN-The James Hutton Institute-10-01-2018-11:10:12:637-1	LIB19753	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Mpersicae_24H_2R	stranded Truseq	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19753_LDI17145_CGTACG_L004_R1.fastq.gz	a3a55df800d333665087b99e3084d25c		1674_LIB19753_LDI17145_CGTACG_L004_R2.fastq.gz	df24c3fcc3259f86db23be83898abf0d	
PRJEB24317		Myzus persicae genotype O JHI clonal line1	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-11:10:12:637-1	ena-RUN-The James Hutton Institute-10-01-2018-11:10:12:637-1	LIB19730	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Mpersicae_24H_3R	stranded Truseq	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19730_LDI17125_TTAGGC_L001_R1.fastq.gz	14e43c9d04d7a6568777a4ab27be3cac		1674_LIB19730_LDI17125_TTAGGC_L001_R2.fastq.gz	2285898757eff463121e4ce56411c5c5	
PRJEB24317		Myzus persicae genotype O JHI clonal line1	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-11:10:12:637-1	ena-RUN-The James Hutton Institute-10-01-2018-11:10:12:637-1	LIB19730	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Mpersicae_24H_3R	stranded Truseq	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19730_LDI17125_TTAGGC_L002_R1.fastq.gz	8d03804c4a6dfcf2e9243ab658b7b1e0		1674_LIB19730_LDI17125_TTAGGC_L002_R2.fastq.gz	6be35104af8eef6385b004676ddff372	
PRJEB24317		Myzus persicae genotype O JHI clonal line1	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-11:10:12:637-1	ena-RUN-The James Hutton Institute-10-01-2018-11:10:12:637-1	LIB19730	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Mpersicae_24H_3R	stranded Truseq	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19730_LDI17125_TTAGGC_L003_R1.fastq.gz	4bc8aad96ccf229f212d2dd97a705b98		1674_LIB19730_LDI17125_TTAGGC_L003_R2.fastq.gz	b3c8168876acee7229d220195951f19d	
PRJEB24317		Myzus persicae genotype O JHI clonal line1	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-11:10:12:637-1	ena-RUN-The James Hutton Institute-10-01-2018-11:10:12:637-1	LIB19730	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Mpersicae_24H_3R	stranded Truseq	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19730_LDI17125_TTAGGC_L004_R1.fastq.gz	8cb5869e23a3c518042ce317554fdaf1		1674_LIB19730_LDI17125_TTAGGC_L004_R2.fastq.gz	2da7402f6f7a88d2513fb0766dcc5534	
PRJEB24317		Myzus persicae genotype O JHI clonal line1	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-11:10:12:637-1	ena-RUN-The James Hutton Institute-10-01-2018-11:10:12:637-1	LIB19733	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Mpersicae_24H_4R	stranded Truseq	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19733_LDI17128_TAGCTT_L001_R1.fastq.gz	d3775ae3f589920aba8303813ebce159		1674_LIB19733_LDI17128_TAGCTT_L001_R2.fastq.gz	10f2a6b12eab876e7dec70624a695444	
PRJEB24317		Myzus persicae genotype O JHI clonal line1	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-11:10:12:637-1	ena-RUN-The James Hutton Institute-10-01-2018-11:10:12:637-1	LIB19733	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Mpersicae_24H_4R	stranded Truseq	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19733_LDI17128_TAGCTT_L002_R1.fastq.gz	984b5995c72c4f2cc8691c41267b37fe		1674_LIB19733_LDI17128_TAGCTT_L002_R2.fastq.gz	4117bb5e5d498bd9cef5bd8db63c63b2	
