project_accession	project_alias	sample_alias	experiment_alias	run_alias	library_name	library_source	library_selection	library_strategy	design_description	library_construction_protocol	instrument_model	file_type	library_layout	insert_size	forward_file_name	forward_file_md5	forward_file_unencrypted_md5	reverse_file_name	reverse_file_md5	reverse_file_unencrypted_md5
PRJEB24317		Rhopalosiphum padi	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-09:56:38:281-1	ena-RUN-The James Hutton Institute-10-01-2018-09:56:38:281-1	LIB19723	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Rpadi_3H_1R	Stranded TruSeq libaries	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19723_LDI17118_CGATGT_L001_R1.fastq.gz	c4be660b26951043c44fbf57ba2ecf9f		1674_LIB19723_LDI17118_CGATGT_L001_R2.fastq.gz	c356abc6f10d0beb0ea9e759f69b1c37	
PRJEB24317		Rhopalosiphum padi	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-09:56:38:281-2	ena-RUN-The James Hutton Institute-10-01-2018-09:56:38:281-2	LIB19723	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Rpadi_3H_1R	Stranded TruSeq libaries	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19723_LDI17118_CGATGT_L002_R1.fastq.gz	e5e118d534a23fd0942b121c34e6c6cf		1674_LIB19723_LDI17118_CGATGT_L002_R2.fastq.gz	2f654da8f8ad58ff4db3fdda42817070	
PRJEB24317		Rhopalosiphum padi	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-09:56:38:281-1	ena-RUN-The James Hutton Institute-10-01-2018-09:56:38:281-1	LIB19723	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Rpadi_3H_1R	Stranded TruSeq libaries	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19723_LDI17118_CGATGT_L003_R1.fastq.gz	eabe8f2a6faeafa0591008ad432deb7c		1674_LIB19723_LDI17118_CGATGT_L003_R2.fastq.gz	b0fd9e0bf7ee62d2065a77f703872a0d	
PRJEB24317		Rhopalosiphum padi	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-09:56:38:281-2	ena-RUN-The James Hutton Institute-10-01-2018-09:56:38:281-2	LIB19723	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Rpadi_3H_1R	Stranded TruSeq libaries	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19723_LDI17118_CGATGT_L004_R1.fastq.gz	c0d4c3d3202b7d70294cc43c5542ff08		1674_LIB19723_LDI17118_CGATGT_L004_R2.fastq.gz	9d4c18cddd25b9a981e715516a727b1a	
PRJEB24317		Rhopalosiphum padi	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-09:56:38:281-1	ena-RUN-The James Hutton Institute-10-01-2018-09:56:38:281-1	LIB19725	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Rpadi_24H_1R	Stranded TruSeq libaries	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19725_LDI17120_ACAGTG_L001_R1.fastq.gz	70b05fdfb8f8e32c03181cac1f016d95		1674_LIB19725_LDI17120_ACAGTG_L001_R2.fastq.gz	cbf5f837ff51a2e89542882b403489d6	
PRJEB24317		Rhopalosiphum padi	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-09:56:38:281-2	ena-RUN-The James Hutton Institute-10-01-2018-09:56:38:281-2	LIB19725	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Rpadi_24H_1R	Stranded TruSeq libaries	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19725_LDI17120_ACAGTG_L002_R1.fastq.gz	454ef9104c057d105a6b141023f10a94		1674_LIB19725_LDI17120_ACAGTG_L002_R2.fastq.gz	d1e88e20f42f0441f95285f6eeb1f217	
PRJEB24317		Rhopalosiphum padi	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-09:56:38:281-1	ena-RUN-The James Hutton Institute-10-01-2018-09:56:38:281-1	LIB19725	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Rpadi_24H_1R	Stranded TruSeq libaries	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19725_LDI17120_ACAGTG_L003_R1.fastq.gz	b8cbdf654cd4b71baa72b8e0d21fe14f		1674_LIB19725_LDI17120_ACAGTG_L003_R2.fastq.gz	f9304937c2b1509e216f13b47be035ba	
PRJEB24317		Rhopalosiphum padi	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-09:56:38:281-2	ena-RUN-The James Hutton Institute-10-01-2018-09:56:38:281-2	LIB19725	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Rpadi_24H_1R	Stranded TruSeq libaries	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19725_LDI17120_ACAGTG_L004_R1.fastq.gz	180751e0b81d0189b6733a3c66c2d801		1674_LIB19725_LDI17120_ACAGTG_L004_R2.fastq.gz	2ff3aee8169d2384b60d76582cbf4c9e	
PRJEB24317		Rhopalosiphum padi	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-09:56:38:281-1	ena-RUN-The James Hutton Institute-10-01-2018-09:56:38:281-1	LIB19726	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Rpadi_3H_2R	Stranded TruSeq libaries	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19726_LDI17121_GCCAAT_L001_R1.fastq.gz	1002ede1dd5f9dcfa4217e4198a2a6fd		1674_LIB19726_LDI17121_GCCAAT_L001_R2.fastq.gz	c32a261d7484a67187c00aa82417d6d6	
PRJEB24317		Rhopalosiphum padi	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-09:56:38:281-2	ena-RUN-The James Hutton Institute-10-01-2018-09:56:38:281-2	LIB19726	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Rpadi_3H_2R	Stranded TruSeq libaries	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19726_LDI17121_GCCAAT_L002_R1.fastq.gz	1758de9de7f5381a7466ea9b10f64218		1674_LIB19726_LDI17121_GCCAAT_L002_R2.fastq.gz	bb283f2d10e1be085de4eb067aafac5d	
PRJEB24317		Rhopalosiphum padi	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-09:56:38:281-1	ena-RUN-The James Hutton Institute-10-01-2018-09:56:38:281-1	LIB19726	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Rpadi_3H_2R	Stranded TruSeq libaries	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19726_LDI17121_GCCAAT_L003_R1.fastq.gz	c76f2e7b1195e9cb08b89d3c2ac33c30		1674_LIB19726_LDI17121_GCCAAT_L003_R2.fastq.gz	f8314faa625bca74512bacd59a370681	
PRJEB24317		Rhopalosiphum padi	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-09:56:38:281-2	ena-RUN-The James Hutton Institute-10-01-2018-09:56:38:281-2	LIB19726	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Rpadi_3H_2R	Stranded TruSeq libaries	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19726_LDI17121_GCCAAT_L004_R1.fastq.gz	26d1d003fbe200d808b3f2f83f35a669		1674_LIB19726_LDI17121_GCCAAT_L004_R2.fastq.gz	4e29e8597086424870b4f593d65fc7be	
PRJEB24317		Rhopalosiphum padi	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-09:56:38:281-1	ena-RUN-The James Hutton Institute-10-01-2018-09:56:38:281-1	LIB19728	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Rpadi_24H_2R	Stranded TruSeq libaries	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19728_LDI17123_CTTGTA_L001_R1.fastq.gz	0bbde4effab1e31b9e720902137095a8		1674_LIB19728_LDI17123_CTTGTA_L001_R2.fastq.gz	b35b9bbb7119f4d4eeb1579973f1e967	
PRJEB24317		Rhopalosiphum padi	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-09:56:38:281-2	ena-RUN-The James Hutton Institute-10-01-2018-09:56:38:281-2	LIB19728	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Rpadi_24H_2R	Stranded TruSeq libaries	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19728_LDI17123_CTTGTA_L002_R1.fastq.gz	4fb21f1c4f3e204b78818d649e3ebfe5		1674_LIB19728_LDI17123_CTTGTA_L002_R2.fastq.gz	96232026381b89dff2809df76ad193f5	
PRJEB24317		Rhopalosiphum padi	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-09:56:38:281-1	ena-RUN-The James Hutton Institute-10-01-2018-09:56:38:281-1	LIB19728	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Rpadi_24H_2R	Stranded TruSeq libaries	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19728_LDI17123_CTTGTA_L003_R1.fastq.gz	05943aca210b283fdbe3526fff4588fa		1674_LIB19728_LDI17123_CTTGTA_L003_R2.fastq.gz	3f1d5c2ca4b6d36db11f8a30cd10c670	
PRJEB24317		Rhopalosiphum padi	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-09:56:38:281-2	ena-RUN-The James Hutton Institute-10-01-2018-09:56:38:281-2	LIB19728	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Rpadi_24H_2R	Stranded TruSeq libaries	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19728_LDI17123_CTTGTA_L004_R1.fastq.gz	d6c937d0485e182b5a53b60e694d998b		1674_LIB19728_LDI17123_CTTGTA_L004_R2.fastq.gz	8736480a3577c0d9705eb916e3ce11a2	
PRJEB24317		Rhopalosiphum padi	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-09:56:38:281-1	ena-RUN-The James Hutton Institute-10-01-2018-09:56:38:281-1	LIB19732	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Rpadi_24H_4R	Stranded TruSeq libaries	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19732_LDI17127_GATCAG_L001_R1.fastq.gz	0c4bfdb60e41bdd0ab768829f0d85c68		1674_LIB19732_LDI17127_GATCAG_L001_R2.fastq.gz	4d2ecfcd34f5332f6f135cfadc9f5372	
PRJEB24317		Rhopalosiphum padi	ena-EXPERIMENT-The James Hutton Institute-10-01-2018-09:56:38:281-2	ena-RUN-The James Hutton Institute-10-01-2018-09:56:38:281-2	LIB19732	TRANSCRIPTOMIC	unspecified	RNA-Seq	artificial_diet_Rpadi_24H_4R	Stranded TruSeq libaries	Illumina HiSeq 2000	fastq	PAIRED	300	1674_LIB19732_LDI17127_GATCAG_L002_R1.fastq.gz	72e4dbbf10f193169f70c502d799a040		1674_LIB19732_LDI17127_GATCAG_L002_R2.fastq.gz	450c2bad1b481a8a8896ebcb32f0fcfd	
